City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
452,Sorland,NO,51.66,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
455,Challapata,BO,57.34,overcast clouds,-18.9,-66.7667,HOSTAL MARIAN
463,Whyalla,AU,54.19,scattered clouds,-33.0333,137.5833,Foreshore Motor Inn
464,Mehamn,NO,51.75,broken clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
474,Copiapo,CL,58.69,clear sky,-27.3667,-70.3333,Antay Casino Hotel
475,Prince Rupert,CA,59.09,overcast clouds,54.3161,-130.3201,Crest Hotel
490,Rauma,FI,57.24,light rain,61.1272,21.5113,Kalliohovi Hotel
498,Ziro,IN,59.76,overcast clouds,27.6333,93.8333,Ka-ngam homestay
504,Geraldton,AU,50.41,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
507,Irbit,RU,59.65,few clouds,57.6705,63.071,Nitsa
512,Brae,GB,51.78,clear sky,60.3964,-1.353,Busta House Hotel
513,Yongan,CN,53.11,broken clouds,39.6957,113.6871,Beiyue International Hotel
515,Boli,CN,59.76,light rain,45.7667,130.5167,The Disabled Recovery Xunlianshi
519,Roald,NO,58.15,broken clouds,62.5833,6.1333,Flem Cabins
526,Emerald,AU,58.33,clear sky,-23.5333,148.1667,The Irish Village
529,Anchorage,US,55.58,fog,61.2181,-149.9003,Hotel Captain Cook
536,Golyshmanovo,RU,56.35,clear sky,56.3979,68.3728,Mini gostinitsa Paradiz
539,Imbituba,BR,54.39,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
543,Gualeguay,AR,55.17,clear sky,-33.1416,-59.3097,Faro del Lago
551,Sydney,AU,56.59,clear sky,-33.8679,151.2073,The Grace Sydney
552,Patacamaya,BO,54.5,broken clouds,-17.2333,-67.9167,RESIDENCIAL ISLA VIGU
